"cell_line","treatment","design","time","concentration","cell_count__time0","dead_count__time0","cell_count","dead_count","cell_count__ctrl","dead_count__ctrl"
"cell_line_TT","drug_C",1,3,0.1,1197.70779220779,296.253246753247,6010,528,5425.3,495.3
"cell_line_TT","drug_C",1,3,0.031623,1197.70779220779,296.253246753247,5211,496,5425.3,495.3
"cell_line_TT","drug_C",1,3,0.01,1197.70779220779,296.253246753247,4747,404,5425.3,495.3
"cell_line_TT","drug_C",1,3,0.0031623,1197.70779220779,296.253246753247,5118,387,5425.3,495.3
"cell_line_TT","drug_C",1,3,0.001,1197.70779220779,296.253246753247,4957,325,5425.3,495.3
"cell_line_TT","drug_M",1,3,10,1197.70779220779,296.253246753247,4839,374,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,5825,551,5425.3,495.3
"cell_line_TT","drug_P",1,3,10,1197.70779220779,296.253246753247,623,782,5425.3,495.3
"cell_line_TT","drug_P",1,3,3.1623,1197.70779220779,296.253246753247,788,968,5425.3,495.3
"cell_line_TT","drug_P",1,3,1,1197.70779220779,296.253246753247,711,1162,5425.3,495.3
"cell_line_TT","drug_P",1,3,0.31623,1197.70779220779,296.253246753247,2561,729,5425.3,495.3
"cell_line_TT","drug_P",1,3,0.1,1197.70779220779,296.253246753247,5285,453,5425.3,495.3
"cell_line_TT","drug_P",1,3,0.031623,1197.70779220779,296.253246753247,5681,454,5425.3,495.3
"cell_line_TT","drug_P",1,3,0.01,1197.70779220779,296.253246753247,5792,454,5425.3,495.3
"cell_line_TT","drug_P",1,3,0.0031623,1197.70779220779,296.253246753247,5895,544,5425.3,495.3
"cell_line_TT","drug_P",1,3,0.001,1197.70779220779,296.253246753247,5786,540,5425.3,495.3
"cell_line_TT","drug_SS",1,3,3.1623,1197.70779220779,296.253246753247,1759,579,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,4786,396,5425.3,495.3
"cell_line_TT","drug_F",1,3,10,1197.70779220779,296.253246753247,3657,644,5425.3,495.3
"cell_line_TT","drug_F",1,3,3.1623,1197.70779220779,296.253246753247,6788,526,5425.3,495.3
"cell_line_TT","drug_F",1,3,1,1197.70779220779,296.253246753247,5993,549,5425.3,495.3
"cell_line_TT","drug_F",1,3,0.31623,1197.70779220779,296.253246753247,5681,498,5425.3,495.3
"cell_line_TT","drug_F",1,3,0.1,1197.70779220779,296.253246753247,5868,548,5425.3,495.3
"cell_line_TT","drug_F",1,3,0.031623,1197.70779220779,296.253246753247,6145,469,5425.3,495.3
"cell_line_TT","drug_F",1,3,0.01,1197.70779220779,296.253246753247,5755,504,5425.3,495.3
"cell_line_TT","drug_F",1,3,0.0031623,1197.70779220779,296.253246753247,5725,515,5425.3,495.3
"cell_line_TT","drug_F",1,3,0.001,1197.70779220779,296.253246753247,5418,487,5425.3,495.3
"cell_line_TT","drug_M",1,3,3.1623,1197.70779220779,296.253246753247,4379,380,5425.3,495.3
"cell_line_TT","drug_A",1,3,1,1197.70779220779,296.253246753247,230,1137,5425.3,495.3
"cell_line_TT","drug_H",1,3,10,1197.70779220779,296.253246753247,1802,499,5425.3,495.3
"cell_line_TT","drug_H",1,3,3.1623,1197.70779220779,296.253246753247,2698,623,5425.3,495.3
"cell_line_TT","drug_H",1,3,1,1197.70779220779,296.253246753247,3133,607,5425.3,495.3
"cell_line_TT","drug_H",1,3,0.31623,1197.70779220779,296.253246753247,4110,618,5425.3,495.3
"cell_line_TT","drug_H",1,3,0.1,1197.70779220779,296.253246753247,4591,554,5425.3,495.3
"cell_line_TT","drug_H",1,3,0.031623,1197.70779220779,296.253246753247,5472,576,5425.3,495.3
"cell_line_TT","drug_H",1,3,0.01,1197.70779220779,296.253246753247,5013,433,5425.3,495.3
"cell_line_TT","drug_H",1,3,0.0031623,1197.70779220779,296.253246753247,5066,516,5425.3,495.3
"cell_line_TT","drug_H",1,3,0.001,1197.70779220779,296.253246753247,6331,495,5425.3,495.3
"cell_line_TT","drug_SS",1,3,1,1197.70779220779,296.253246753247,2941,496,5425.3,495.3
"cell_line_TT","drug_A",1,3,1,1197.70779220779,296.253246753247,234,1235,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,10,1197.70779220779,296.253246753247,887,724,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,3.1623,1197.70779220779,296.253246753247,991,540,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,1,1197.70779220779,296.253246753247,933,532,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,0.31623,1197.70779220779,296.253246753247,1139,652,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,0.1,1197.70779220779,296.253246753247,2147,628,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,0.031623,1197.70779220779,296.253246753247,4049,456,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,0.01,1197.70779220779,296.253246753247,5533,548,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,0.0031623,1197.70779220779,296.253246753247,4910,523,5425.3,495.3
"cell_line_TT","drug_JJ",1,3,0.001,1197.70779220779,296.253246753247,4876,519,5425.3,495.3
"cell_line_TT","drug_M",1,3,1,1197.70779220779,296.253246753247,4805,368,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,5568,475,5425.3,495.3
"cell_line_TT","drug_DD",1,3,3.1623,1197.70779220779,296.253246753247,4811,410,5425.3,495.3
"cell_line_TT","drug_DD",1,3,1,1197.70779220779,296.253246753247,4920,385,5425.3,495.3
"cell_line_TT","drug_DD",1,3,0.31623,1197.70779220779,296.253246753247,3883,455,5425.3,495.3
"cell_line_TT","drug_DD",1,3,0.1,1197.70779220779,296.253246753247,4877,524,5425.3,495.3
"cell_line_TT","drug_DD",1,3,0.031623,1197.70779220779,296.253246753247,4610,451,5425.3,495.3
"cell_line_TT","drug_DD",1,3,0.01,1197.70779220779,296.253246753247,5018,437,5425.3,495.3
"cell_line_TT","drug_DD",1,3,0.0031623,1197.70779220779,296.253246753247,5926,437,5425.3,495.3
